date,quarantine,confirmed,confirmed_delta,recovered,recovered_delta,deaths,deaths_delta
2/1,12,12,0,0,0,0,0
2/2,15,15,3,0,0,0,0
2/3,15,15,0,0,0,0,0
2/4,16,16,1,0,0,0,0
2/5,19,19,3,0,0,0,0
2/6,23,23,4,0,0,0,0
2/7,23,24,1,1,1,0,0
2/8,23,24,0,1,0,0,0
2/9,22,25,1,3,2,0,0
2/10,24,27,2,3,0,0,0
2/11,25,28,1,3,0,0,0
2/12,21,28,0,7,4,0,0
2/13,21,28,0,7,0,0,0
2/14,21,28,0,7,0,0,0
2/15,19,28,0,9,2,0,0
2/16,20,29,1,9,0,0,0
2/17,20,30,1,10,1,0,0
2/18,19,31,1,12,2,0,0
2/19,19,31,0,12,0,0,0
2/20,87,104,73,16,4,1,1
2/21,186,204,100,16,0,2,1
2/22,415,433,229,16,0,2,0
2/23,578,602,169,18,2,6,4
2/24,807,833,231,18,0,8,2
2/25,945,977,144,22,4,10,2
2/26,1227,1261,284,22,0,12,2
2/27,1731,1766,505,22,0,13,1
2/28,2302,2337,571,22,0,13,0
2/29,3107,3150,813,27,5,16,3
3/1,3689,3736,586,30,3,17,1
3/2,4277,4335,599,30,0,28,11
3/3,5128,5186,851,30,0,28,0
3/4,5545,5621,435,41,11,35,7
3/5,6012,6088,467,41,0,35,0
3/6,6416,6593,505,135,94,42,7
3/7,6862,7041,448,135,0,44,2
3/8,7146,7314,273,118,-17,50,6
3/9,7307,7478,164,118,0,53,3
3/10,7212,7513,35,247,129,54,1
3/11,7407,7755,242,288,41,60,6
3/12,7470,7869,114,333,45,66,6
3/13,7403,7979,110,510,177,66,0
3/14,7504,8086,107,510,0,72,6
3/15,7577,8162,76,510,0,75,3
3/16,7024,8236,74,1137,627,75,0
3/17,6832,8320,84,1407,270,81,6
3/18,6789,8413,93,1540,133,84,3
3/19,6934,8565,152,1540,0,91,7
3/20,7018,8652,87,1540,0,94,3
3/21,7157,8799,147,1540,0,102,8
3/22,5941,8961,162,2909,1369,111,9
3/23,5941,8961,0,2909,0,111,0
3/24,5410,9037,76,3507,598,120,9
3/25,5281,9137,100,3730,223,126,6
3/26,4966,9241,104,4144,414,131,5
3/27,4665,9332,91,4528,384,139,8
3/28,4523,9478,146,4811,283,144,5
3/29,4398,9583,105,5033,222,152,8
3/30,4275,9661,78,5228,195,158,6
3/31,4216,9786,125,5408,180,162,4
4/1,4155,9887,101,5567,159,165,3
4/2,3979,9976,89,5828,261,169,4
4/3,3867,10062,86,6021,193,174,5
4/4,3654,10156,94,6325,304,177,3
4/5,3591,10237,81,6463,138,183,6
4/6,3500,10284,47,6598,135,186,3
4/7,3445,10331,47,6694,96,192,6
4/8,3408,10384,53,6776,82,200,8
4/9,3246,10423,39,6973,197,204,4
4/10,3125,10450,27,7117,144,208,4
4/11,3026,10480,30,7243,126,211,3
4/12,2930,10512,32,7368,125,214,3
4/13,2873,10537,25,7447,79,217,3
4/14,2808,10564,27,7534,87,222,5
4/15,2750,10591,27,7616,82,225,3
4/16,2627,10613,22,7757,141,229,4
4/17,2576,10635,22,7829,72,230,1
4/18,2484,10653,18,7937,108,232,2
4/19,2385,10661,8,8042,105,234,2
4/20,2324,10674,13,8114,72,236,2
4/21,2233,10683,9,8213,99,237,1
4/22,2179,10694,11,8277,64,238,1
4/23,1967,10708,14,8501,224,240,2
4/24,1843,10718,10,8635,134,240,0
4/25,1769,10728,10,8717,82,242,2
4/26,1731,10738,10,8764,47,243,1
4/27,1654,10752,14,8854,90,244,1
4/28,1593,10761,9,8922,68,246,2
4/29,1459,10765,4,9059,137,247,1
4/30,1454,10774,9,9072,13,248,1
5/1,1407,10780,6,9123,51,250,2
5/2,1360,10793,13,9183,60,250,0
5/3,1332,10801,8,9217,34,252,2
5/4,1267,10804,3,9283,66,254,2
5/5,1218,10806,2,9333,50,255,1
5/6,1135,10810,4,9419,86,256,1
5/7,1082,10822,12,9484,65,256,0
5/8,1016,10840,18,9568,84,256,0
5/9,1008,10874,34,9610,42,256,0
5/10,1021,10909,35,9632,22,256,0
5/11,1008,10936,27,9670,38,258,2
5/12,1008,10962,26,9695,25,259,1
5/13,969,10991,29,9762,67,260,1
5/14,937,11018,27,9821,59,260,0
5/15,924,11037,19,9851,30,262,2
5/16,900,11050,13,9888,37,262,0
5/17,898,11065,15,9904,16,263,1
5/18,877,11078,13,9938,34,263,0
5/19,781,11110,32,10066,128,263,0
5/20,723,11122,12,10135,69,264,1
5/21,716,11142,20,10162,27,264,0
5/22,705,11165,23,10194,32,266,2
5/23,711,11190,25,10213,19,266,0
5/24,713,11206,16,10226,13,267,1
5/25,681,11225,19,10275,49,269,2
5/26,701,11265,40,10295,20,269,0
5/27,735,11344,79,10340,45,269,0
5/28,770,11402,58,10363,23,269,0
5/29,774,11441,39,10398,35,269,0
5/30,793,11468,27,10405,7,270,1
5/31,810,11503,35,10422,17,271,1
6/1,823,11541,38,10446,24,272,1
6/2,850,11590,49,10467,21,273,1
6/3,857,11629,39,10499,32,273,0
6/4,889,11668,39,10506,7,273,0
6/5,915,11719,51,10531,25,273,0
6/6,951,11776,57,10552,21,273,0
6/7,978,11814,38,10563,11,273,0
6/8,989,11852,38,10589,26,274,1
6/9,1015,11902,50,10611,22,276,2
6/10,1017,11947,45,10654,43,276,0
6/11,1057,12003,56,10669,15,277,1
6/12,1083,12051,48,10691,22,277,0
6/13,1090,12085,34,10718,27,277,0
6/14,1114,12121,36,10730,12,277,0
6/15,1117,12155,34,10760,30,278,1
6/16,1145,12198,43,10774,14,279,1
6/17,1177,12257,59,10800,26,280,1
6/18,1191,12306,49,10835,35,280,0
6/19,1237,12373,67,10856,21,280,0
6/20,1273,12421,48,10868,12,280,0
6/21,1277,12438,17,10881,13,280,0
6/22,1295,12484,46,10908,27,281,1
6/23,1324,12535,51,10930,22,281,0
6/24,1307,12563,28,10974,44,282,1
6/25,1148,12602,39,11172,198,282,0
6/26,1054,12653,51,11317,145,282,0
6/27,1069,12715,62,11364,47,282,0
6/28,1046,12757,42,11429,65,282,0
6/29,981,12800,43,11537,108,282,0
6/30,955,12850,50,11613,76,282,0
7/1,938,12904,54,11684,71,282,0
7/2,926,12967,63,11759,75,282,0
7/3,936,13030,63,11811,52,283,1
7/4,976,13091,61,11832,21,283,0
7/5,1005,13137,46,11848,16,284,1
7/6,982,13181,44,11914,66,285,1
7/7,989,13244,63,11970,56,285,0
7/8,987,13293,49,12019,49,287,2
7/9,985,13338,45,12065,46,288,1
7/10,941,13373,35,12144,79,288,0
7/11,950,13417,44,12178,34,289,1
7/12,986,13479,62,12204,26,289,0
7/13,941,13512,33,12282,78,289,0
7/14,914,13551,39,12348,66,289,0
7/15,925,13612,61,12396,48,291,2
7/16,919,13672,60,12460,64,293,2
7/17,898,13711,39,12519,59,294,1
7/18,894,13745,34,12556,37,295,1
7/19,903,13771,26,12572,16,296,1
7/20,877,13816,45,12643,71,296,0
7/21,884,13879,63,12698,55,297,1
7/22,883,13938,59,12758,60,297,0
7/23,864,13979,41,12817,59,298,1
7/24,928,14092,113,12866,49,298,0
7/25,962,14150,58,12890,24,298,0
7/26,971,14175,25,12905,15,299,1
7/27,896,14203,28,13007,102,300,1
7/28,882,14251,48,13069,62,300,0
7/29,837,14269,18,13132,63,300,0
7/30,821,14305,36,13183,51,301,1
7/31,802,14336,31,13233,50,301,0
8/1,806,14366,30,13259,26,301,0
8/2,808,14389,23,13280,21,301,0
8/3,770,14423,34,13352,72,301,0
8/4,748,14456,33,13406,54,302,1
8/5,696,14499,43,13501,95,302,0
8/6,673,14519,20,13543,42,303,1
8/7,629,14562,43,13629,86,304,1
8/8,651,14598,36,13642,13,305,1
8/9,663,14626,28,13658,16,305,0
8/10,626,14660,34,13729,71,305,0
8/11,623,14714,54,13786,57,305,0
8/12,648,14770,56,13817,31,305,0
8/13,705,14873,103,13863,46,305,0
8/14,833,15039,166,13901,38,305,0
8/15,1103,15318,279,13910,9,305,0
8/16,1293,15515,197,13917,7,305,0
8/17,1521,15761,246,13934,17,306,1
8/18,1746,16058,297,14006,72,306,0
8/19,1976,16346,288,14063,57,307,1
8/20,2241,16670,324,14120,57,309,2
8/21,2524,17002,332,14169,49,309,0
8/22,2890,17399,397,14200,31,309,0
8/23,3137,17665,266,14219,19,309,0
8/24,3349,17945,280,14286,67,310,1
8/25,3585,18265,320,14368,82,312,2
8/26,3932,18706,441,14461,93,313,1
8/27,4210,19077,371,14551,90,316,3
8/28,4314,19400,323,14765,214,321,5
8/29,4473,19699,299,14903,138,323,2
8/30,4650,19947,248,14973,70,324,1
8/31,4660,20182,235,15198,225,324,0
9/1,4767,20449,267,15356,158,326,2
