Name,Name_ch,Name_en,confirmed,deaths,recovered
미국,美国,United States,6258028,188907,3497431
브라질,巴西,Brazil,3952790,122681,3159096
인도,印度,India,3773483,66491,2902096
러시아,俄罗斯,Russia,1005000,17414,821169
페루,秘鲁,Peru,657129,29068,471599
남아프리카 공화국,南非共和国,South Africa,628259,14263,549993
콜롬비아,哥伦比亚,Colombia,624069,20052,469557
멕시코,墨西哥,Mexico,606036,65241,421373
스페인,西班牙,Spain,470973,29152,0
Argentina,,Argentina,428239,8919,308376
칠레,智利,Chile,413145,11321,385790
이란,伊朗,Iran,378752,21797,326801
영국,英国,UK,337168,41504,0
Bangladesh,,Bangladesh,317528,4351,211016
사우디아라비아,沙特阿拉伯,Saudi Arabia,316670,3929,291514
파키스탄,巴基斯坦,Pakistan,296590,6318,281459
프랑스,法国,France,286007,30661,86712
터키,土耳其,Turkey,271705,6417,245929
이탈리아,义大利,Italy,270189,35491,207944
독일,德国,Germany,246001,9381,221800
이라크,伊拉克,Iraq,238338,7123,180473
필리핀,菲律宾,Philippines,226440,3623,158610
인도네시아,印度尼西亚,Indonesia,180646,7616,129971
캐나다,加拿大,Canada,129425,9132,114607
Ukraine,,Ukraine,125789,2656,58817
이스라엘,以色列,Israel,119627,963,96662
카타르,卡塔尔,Qatar,118994,198,115895
Bolivia,,Bolivia,117267,5101,62124
에콰도르,厄瓜多尔,Ecuador,114309,6571,101723
Kazakhstan,,Kazakhstan,105944,1588,97371
이집트,埃及,Egypt,99115,5440,73828
도미니카 공화국,多明尼加共和国,Dominican Republic,94979,1738,68736
Panama,,Panama,93552,2018,66974
루마니아,尼亚,Romania,89891,3721,38701
쿠웨이트,科威特,Kuwait,86478,535,78209
오만,阿曼,Oman,85928,689,81024
벨기에,比利时,Belgium,85487,9897,18457
스웨덴,瑞典语,Sweden,84521,5813,0
Guatemala,,Guatemala,74893,2778,62935
벨라루스,白俄罗斯,Belarus,71962,686,70606
아랍에미리트,阿拉伯联合酋长国,UAE,71540,387,62029
네덜란드,荷兰,Netherlands,71129,6230,0
폴란드,波兰,Poland,68517,2078,47865
일본,日本,Japan,68392,1296,57823
모로코,摩洛哥,Morocco,63781,1184,48922
Honduras,,Honduras,61769,1888,10430
포르투갈,葡萄牙,Portugal,58243,1824,42104
싱가포르,新加坡,Singapore,56901,27,55749
나이지리아,尼日利亚,Nigeria,54247,1023,42010
Ethiopia,,Ethiopia,53304,828,19487
바레인,巴林,Bahrain,52440,190,49395
Venezuela,,Venezuela,47756,391,39027
알제리,阿尔及利亚,Algeria,44833,1518,31493
