title,link
"Coronavirus Africa summary: cases, deaths and news - 30 Aug",https://en.as.com/en/2020/08/30/latest_news/1598769034_793758.html
30 cases of Covid-19 have been linked to a karaoke bar in Canada,https://edition.cnn.com/2020/09/02/americas/canada-karaoke-bar-covid-cluster/index.html
Coronavirus: Quarantine restrictions for travellers from Greece,https://www.bbc.com/news/uk-scotland-53992742
A Coronavirus Second Wave Grips Spain,https://www.nytimes.com/2020/08/31/world/europe/coronavirus-covid-spain-second-wave.html
"India reports near 80,000 coronavirus cases in one day: Live news",https://www.aljazeera.com/news/2020/09/turns-global-coronavirus-vaccine-effort-live-news-200902000127327.html
Australia in first recession for nearly 30 years,https://www.bbc.com/news/business-53994318
U.S. Won’t Join Global Coronavirus Vaccine Effort Because It’s Led By The WHO,https://www.forbes.com/sites/tommybeer/2020/09/01/us-wont-join-global-coronavirus-vaccine-effort-because-its-led-by-the-who/
The latest on the coronavirus pandemic: Live updates,https://edition.cnn.com/world/live-news/coronavirus-pandemic-09-02-20-intl/index.html
"C.D.C. Halts Evictions, Citing Covid-19 Risks",https://www.nytimes.com/2020/09/01/world/covid-19-coronavirus.html
Coronavirus live updates: US to shun world effort to develop vaccine; Here's who should get first vaccinations; Fauci debunks COVID theories,https://www.usatoday.com/story/news/health/2020/09/01/covid-19-news-fauci-labor-day-weekend-safety-iowa-state-football/3447396001/
