title,link
울산 ‘고스톱 확진자’ 12명으로 늘어,http://www.hani.co.kr/arti/area/yeongnam/960363.html
[1보] 제주도 47번째 확진자 발생…울산 환자와 접촉,http://www.fnnews.com/news/202009020025153557
수능 응시원서 접수 3일부터…자가격리자·확진자 대리제출 가능,http://yna.kr/AKR20200901046000530?did=1195m
제주 게하발 코로나 확진자 서울서 또 발생...도내외 총 9명,http://www.jejusori.net/news/articleView.html?idxno=319674
강남 아파트 등 집단감염↑...서울 확진자 다시 100명대,http://www.fnnews.com/news/202009021144417201
제주도 방문 외교부 확진자와 접촉한 22명 전원 음성,http://yna.kr/AKR20200902092700530?did=1195m
울산 확진자 7명 추가...'고스톱 확진자' 총 12명,http://www.newsis.com/view/?id=NISX20200902_0001151316&cID=10814&pID=10800
20대 남녀 코로나19 양성…울산 확진자 100명째,https://www.nocutnews.co.kr/news/5405210
제주 온천감염 46번 확진자 자가격리 지침위반 병원·약국 방문,http://yna.kr/AKR20200901168800056?did=1195m
'산방산탄선온천'발 제주 44번 확진자 대형마트 방문,https://www.news1.kr/articles/?4044353
